カード名,カードID,カードコード,タイプ,レアリティ,コスト,属性,パワー,カウンター,色,ブロックアイコン,特徴,テキスト,トリガー,入手情報
プロメテウス,ST07-013,ST07-013,CHARACTER,C,3,特,3000,1000,黄,1,ビッグ・マム海賊団/ホーミーズ,【起動メイン】このキャラをレストにできる：自分の「シャーロット・リンリン」1枚までは、このターン中、【ダブルアタック】を得る。(このカードが与えるダメージは2になる),【トリガー】このカードを登場させる。,ビッグ・マム海賊団【ST-07】
ぺコムズ,ST07-014,ST07-014,CHARACTER,C,3,打,5000,1000,黄,1,ミンク族/ビッグ・マム海賊団,-,,ビッグ・マム海賊団【ST-07】
ソウル・ポーカス,ST07-015,ST07-015,EVENT,C,5,,-,0,黄,1,四皇/ビッグ・マム海賊団,【メイン】相手は以下から1つを選ぶ。・相手のライフの上から1枚をトラッシュに置く。・自分のデッキの上から1枚をライフの上に加える。,【トリガー】このカードの【メイン】効果を発動する。,ビッグ・マム海賊団【ST-07】
力餅,ST07-016,ST07-016,EVENT,C,1,,-,0,黄,1,ビッグ・マム海賊団,【カウンター】自分か相手のライフの上から1枚までを見て、ライフの上か下に置く。その後、自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。,【トリガー】カード1枚を引き、自分か相手のライフの上から1枚までを見て、ライフの上か下に置く。,ビッグ・マム海賊団【ST-07】
クイーン・ママ・シャンテ号,ST07-017,ST07-017,STAGE,C,2,,-,0,黄,1,ビッグ・マム海賊団/ホーミーズ,【起動メイン】このステージをレストにし、自分のライフの上か下から1枚を手札に加えることができる：自分のコスト3のキャラ1枚までを、持ち主のライフの上に表向きで加える。,【トリガー】このカードを登場させる。,ビッグ・マム海賊団【ST-07】
モンキー・D・ルフィ,ST08-001,ST08-001,LEADER,L,-,打,5000,0,黒,1,麦わらの一味,【自分のターン中】キャラがKOされた時、このリーダーにレストのドン!!1枚までを、付与する。,,Side モンキー・D・ルフィ【ST-08】
ウタ,ST08-002,ST08-002,CHARACTER,SR,2,特,3000,0,黒,1,FILM,このキャラはリーダーとのバトルでKOされない。【起動メイン】このキャラをレストにできる：相手のキャラ1枚までを、このターン中、コスト-2。,,Side モンキー・D・ルフィ【ST-08】
ガイモン,ST08-003,ST08-003,CHARACTER,C,2,知,4000,1000,黒,1,東の海,-,,Side モンキー・D・ルフィ【ST-08】
コビー,ST08-004,ST08-004,CHARACTER,C,4,打,1000,1000,黒,1,海軍,【起動メイン】このキャラをレストにできる：相手のコスト2以下のキャラ1枚までを、KOする。,,Side モンキー・D・ルフィ【ST-08】
シャンクス,ST08-005,ST08-005,CHARACTER,SR,9,斬,10000,0,黒,1,赤髪海賊団,【登場時】自分の手札1枚を捨てることができる：コスト1以下のキャラすべてを、KOする。,,Side モンキー・D・ルフィ【ST-08】
しらほし,ST08-006,ST08-006,CHARACTER,C,4,知,-,1000,黒,1,人魚族,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】相手のキャラ1枚までを、このターン中、コスト-4。,,Side モンキー・D・ルフィ【ST-08】
ネフェルタリ・ビビ,ST08-007,ST08-007,CHARACTER,C,3,斬,1000,1000,黒,1,アラバスタ王国,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【トリガー】このカードを登場させる。,Side モンキー・D・ルフィ【ST-08】
ヒグマ,ST08-008,ST08-008,CHARACTER,C,1,斬,2000,1000,黒,1,山賊,【登場時】相手のキャラ1枚までを、このターン中、コスト-2。,,Side モンキー・D・ルフィ【ST-08】
マキノ,ST08-009,ST08-009,CHARACTER,C,2,知,-,2000,黒,1,フーシャ村,【登場時】コスト0のキャラがいる場合、カード1枚を引く。,,Side モンキー・D・ルフィ【ST-08】
モンキー・D・ガープ,ST08-010,ST08-010,CHARACTER,C,5,打,7000,1000,黒,1,海軍,-,,Side モンキー・D・ルフィ【ST-08】
モンキー・D・ルフィ,ST08-011,ST08-011,CHARACTER,C,3,打,5000,1000,黒,1,麦わらの一味,-,,Side モンキー・D・ルフィ【ST-08】
ラブーン,ST08-012,ST08-012,CHARACTER,C,4,打,6000,1000,黒,1,動物,-,,Side モンキー・D・ルフィ【ST-08】
Mr.2・ボン・クレー(ベンサム),ST08-013,ST08-013,CHARACTER,C,5,打,6000,0,黒,1,元B・W,【ドン!!×1】このキャラが相手のキャラとバトルしたバトル終了時、バトルした相手のキャラをKOしてもよい。そうした場合、このキャラをKOする。,,Side モンキー・D・ルフィ【ST-08】
ゴムゴムの鐘,ST08-014,ST08-014,EVENT,C,2,,-,0,黒,1,麦わらの一味,【メイン】自分のライフの上から1枚を手札に加えることができる：相手のキャラ1枚までを、このターン中、コスト-7。,【トリガー】自分のトラッシュのコスト2以下の黒のキャラカード1枚までを、手札に加える。,Side モンキー・D・ルフィ【ST-08】
ゴムゴムの銃,ST08-015,ST08-015,EVENT,C,3,,-,0,黒,1,麦わらの一味,【メイン】相手のコスト2以下のキャラ1枚までを、KOする。,【トリガー】カード1枚を引く。,Side モンキー・D・ルフィ【ST-08】
ヤマト,ST09-001,ST09-001,LEADER,L,-,打,5000,0,黄,1,ワノ国,【ドン!!×1】【相手のターン中】自分のライフが2枚以下の場合、このリーダーはパワー+1000。,,Side ヤマト【ST-09】
雨月天ぷら,ST09-002,ST09-002,CHARACTER,C,4,斬,5000,1000,黄,1,ワノ国,-,【トリガー】相手のコスト2以下のキャラ1枚までを、レストにし、このカードを手札に加える。,Side ヤマト【ST-09】
うるティ,ST09-003,ST09-003,CHARACTER,C,4,打,6000,1000,黄,1,百獣海賊団,-,,Side ヤマト【ST-09】
カイドウ,ST09-004,ST09-004,CHARACTER,C,4,特,5000,1000,黄,1,四皇/百獣海賊団,【ドン!!×1】自分のライフが2枚以下の場合、このキャラはバトルでKOされない。,,Side ヤマト【ST-09】
光月おでん,ST09-005,ST09-005,CHARACTER,SR,7,斬,7000,0,黄,1,ワノ国/光月家,【ドン!!×1】このキャラは【ダブルアタック】を得る。(このカードが与えるダメージは2になる)【KO時】自分の手札2枚を捨てることができる：自分のデッキの上から1枚までを、ライフの上に加える。,,Side ヤマト【ST-09】
光月モモの助,ST09-006,ST09-006,CHARACTER,C,2,特,4000,1000,黄,1,ワノ国/光月家,-,,Side ヤマト【ST-09】
しのぶ,ST09-007,ST09-007,CHARACTER,C,3,特,2000,0,黄,1,ワノ国,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ブロック時】自分のライフの上か下から1枚を手札に加えることができる：このキャラは、このバトル中、パワー+4000。,,Side ヤマト【ST-09】
霜月牛マル,ST09-008,ST09-008,CHARACTER,C,5,斬,6000,0,黄,1,ワノ国,【ドン!!×1】【アタック時】自分のライフの上か下から1枚を手札に加えることができる：自分の手札からコスト4以下の黄の特徴《ワノ国》を持つキャラカード1枚までを、登場させる。,,Side ヤマト【ST-09】
風月おむすび,ST09-009,ST09-009,CHARACTER,C,3,斬,4000,1000,黄,1,ワノ国,-,【トリガー】相手のコスト1以下のキャラ1枚までを、KOし、このカードを手札に加える。,Side ヤマト【ST-09】
ポートガス・D・エース,ST09-010,ST09-010,CHARACTER,SR,6,特,7000,0,黄,1,ワノ国/白ひげ海賊団,【ターン1回】このキャラがKOされる場合、代わりに自分のライフの上か下から1枚をトラッシュに置くことができる。,,Side ヤマト【ST-09】
モンキー・D・ルフィ,ST09-011,ST09-011,CHARACTER,C,3,打,5000,1000,黄,1,ワノ国/麦わらの一味,-,,Side ヤマト【ST-09】
ヤマト,ST09-012,ST09-012,CHARACTER,C,3,打,3000,2000,黄,1,ワノ国,【アタック時】自分のライフの上か下から1枚を手札に加えることができる：このキャラは、次の自分のターン開始時まで、パワー+2000。,,Side ヤマト【ST-09】
ヤマト,ST09-013,ST09-013,CHARACTER,C,5,特,7000,1000,黄,1,ワノ国,-,,Side ヤマト【ST-09】
鳴鏑,ST09-014,ST09-014,EVENT,C,1,,-,0,黄,1,ワノ国,【カウンター】自分のライフが2枚以下の場合、相手のリーダーかキャラ1枚までを、このターン中、パワー-3000。,【トリガー】自分の手札2枚を捨てることができる：自分のデッキの上から1枚までを、ライフの上に加える。,Side ヤマト【ST-09】
雷鳴八卦,ST09-015,ST09-015,EVENT,C,2,,-,0,黄,1,ワノ国,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。その後、自分のライフが2枚以下の場合、相手のコスト3以下のキャラ1枚までを、持ち主のライフの上か下に表向きで加える。,【トリガー】カード1枚を引く。,Side ヤマト【ST-09】
トラファルガー・ロー,ST10-001,ST10-001,LEADER,L,-,斬,5000,0,赤/紫,2,ハートの海賊団,【起動メイン】【ターン1回】ドン!!-3(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：相手のパワー3000以下のキャラ1枚までを、持ち主のデッキの下に置き、自分の手札からコスト4以下のキャラカード1枚までを、登場させる。,,“三船長”集結【ST-10】
モンキー・D・ルフィ,ST10-002,ST10-002,LEADER,L,-,打,6000,0,赤/紫,2,麦わらの一味,【起動メイン】【ターン1回】自分の場のドン!!が0枚、または自分の場のドン!!が8枚以上ある場合、ドン!!デッキからドン!!1枚までを、アクティブで追加する。,,“三船長”集結【ST-10】
ユースタス・キッド,ST10-003,ST10-003,LEADER,L,-,特,5000,0,赤/紫,2,キッド海賊団,【自分のターン中】自分のライフが4枚以上の場合、このリーダーはパワー-1000。【アタック時】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：このリーダーは、このターン中、パワー+2000。,,“三船長”集結【ST-10】
サンジ,ST10-004,ST10-004,CHARACTER,C,6,打,6000,1000,赤,2,麦わらの一味,【登場時】相手のパワー5000以上のキャラがいる場合、このキャラは、このターン中、【速攻】を得る。(このカードは登場したターンにアタックできる),,“三船長”集結【ST-10】
ジンベエ,ST10-005,ST10-005,CHARACTER,C,2,打,2000,2000,赤,2,魚人族/麦わらの一味,【ドン!!×1】【アタック時】相手のキャラ1枚までを、このターン中、パワー-2000。,,“三船長”集結【ST-10】
モンキー・D・ルフィ,ST10-006,ST10-006,CHARACTER,SR,10,打,11000,0,赤,2,麦わらの一味,【速攻】(このカードは登場したターンにアタックできる)【ターン1回】相手が【ブロッカー】を発動した時、相手のパワー8000以下のキャラ1枚までを、KOする。,,“三船長”集結【ST-10】
キラー,ST10-007,ST10-007,CHARACTER,C,5,斬,6000,1000,紫,2,キッド海賊団,【自分のターン中】【ターン1回】自分の場のドン!!がドン!!デッキに戻された時、相手のレストのコスト3以下のキャラ1枚までを、KOする。,,“三船長”集結【ST-10】
シャチ＆ペンギン,ST10-008,ST10-008,CHARACTER,C,4,射,5000,2000,紫,2,ハートの海賊団,【登場時】自分の場のドン!!が3枚以下の場合、ドン!!デッキからドン!!2枚までを、レストで追加する。,,“三船長”集結【ST-10】
ジャンバール,ST10-009,ST10-009,CHARACTER,C,4,打,5000,1000,紫,2,ハートの海賊団,【登場時】➀(コストエリアのドン!!を指定の数レストにできる)：ドン!!デッキからドン!!1枚までを、アクティブで追加する。,,“三船長”集結【ST-10】
トラファルガー・ロー,ST10-010,ST10-010,CHARACTER,SR,4,斬,5000,1000,紫,2,ハートの海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：相手の手札が7枚以上ある場合、相手の手札2枚を捨てる。,,“三船長”集結【ST-10】
ヒート,ST10-011,ST10-011,CHARACTER,C,3,特,4000,1000,紫,2,キッド海賊団,【自分のターン中】【ターン1回】自分の場のドン!!がドン!!デッキに戻された時、このキャラは、次の自分のターン開始時まで、パワー+2000。,,“三船長”集結【ST-10】
ベポ,ST10-012,ST10-012,CHARACTER,C,4,打,5000,1000,紫,2,ミンク族/ハートの海賊団,【登場時】/【アタック時】相手の場のドン!!の枚数が自分の場のドン!!の枚数より多い場合、ドン!!デッキからドン!!1枚までを、レストで追加する。,,“三船長”集結【ST-10】
ユースタス・キッド,ST10-013,ST10-013,CHARACTER,SR,7,特,8000,0,紫,2,キッド海賊団,【登場時】/【アタック時】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：自分のリーダー1枚までを、次の自分のターン開始時まで、パワー+1000。,,“三船長”集結【ST-10】
